package,file_count,file_fan_in_avg,file_fan_out_avg,func_count,func_fan_in_avg,func_fan_out_avg,class_count,class_fan_in_avg,class_fan_out_avg
slopcode-bin-linux-x64-baseline-musl,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
slopcode-bin-linux-x64-musl,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
slopcode-bin-linux-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@htmlbricks/hb-player-input-streaming,4,0.0000,0.0000,157,0.0000,0.0064,0,0.0000,0.0000
slopcode-bin-linux-x64-baseline,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
ffmpeg-static-electron,2,0.5000,0.5000,0,0.0000,0.0000,0,0.0000,0.0000
@qvac/onnx,1,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@htmlbricks/hb-player-live,4,0.0000,0.0000,554,0.0000,0.0018,0,0.0000,0.0000
aspose.cells.node.linux.x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
name-suggestion-index,27,0.7037,0.7037,1291,0.0101,0.0155,7,0.0000,0.0000
@kolbo/kolbo-code-linux-x64-musl,5,0.0000,0.0000,43,0.0233,0.1395,0,0.0000,0.0000
@kolbo/kolbo-code-linux-x64-baseline,5,0.0000,0.0000,43,0.0233,0.1395,0,0.0000,0.0000
@kolbo/kolbo-code-windows-arm64,5,0.0000,0.0000,43,0.0233,0.1395,0,0.0000,0.0000
@kolbo/kolbo-code-windows-x64-baseline,5,0.0000,0.0000,43,0.0233,0.1395,0,0.0000,0.0000
@kolbo/kolbo-code-linux-x64-baseline-musl,5,0.0000,0.0000,43,0.0233,0.1395,0,0.0000,0.0000
hermes-engine-cli,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@oicl/openbridge-webcomponents,5131,1.5650,1.5650,6568,0.0371,0.3780,6704,0.0234,0.0224
@kolbo/kolbo-code-linux-arm64,5,0.0000,0.0000,43,0.0233,0.1395,0,0.0000,0.0000
slopcode-bin-darwin-x64-baseline,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
slopcode-bin-linux-arm64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@kolbo/kolbo-code-windows-x64,5,0.0000,0.0000,43,0.0233,0.1395,0,0.0000,0.0000
slopcode-bin-darwin-arm64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@kolbo/kolbo-code-darwin-arm64,5,0.0000,0.0000,43,0.0233,0.1395,0,0.0000,0.0000
